file name;TYPE;cost;upper bound;rounded upper bound;gap;time
instances/toy.in;BB BestBound;280;280;280;0;8.9641e-05
280;280;280;0;2.6694e-05
280;280;280;0;4.0435e-05
BB DFS10;280;280;280;0;8.092e-05
280;280;280;0;2.7054e-05
280;280;280;0;2.6054e-05
BB DFS01;280;280;280;0;3.077e-05
280;280;280;0;2.4065e-05
280;280;280;0;2.5937e-05
instances/toy.in;DP v0 with matrix of type MatDPtab;280;280;280;0;0.000108721
instances/toy.in;DP v1 with matrix of type MatDPtab;280;280;280;0;8.6687e-05
instances/toy.in;DP v1bis with matrix of type MatDPtab;280;280;280;0;6.305e-05
instances/toy.in;DP v2 with matrix of type MatDPtab;280;280;280;0;9.859e-06
instances/toy.in;test kpSolverDPsparseV2;280;280;280;0;1.1858e-05
instances/toy.in;test KpSolverGreedy;280;295;295;5.35714;1.368e-06
instances/toy.in;test KpSolverHeurDP;280;280;280;0;1.7969e-05
instances/toy.in;test KpSolverGreedy;280;295;295;5.35714;1.725e-06
instances/toy.in;test KpSolverHeurDP;280;280;280;0;2.7604e-05
instances/toy.in;test KpSolverHeurDP;280;280;280;0;1.3039e-05
instances/toy.in;test KpSolverHeurDP;280;280;280;0;1.1908e-05
instances/toy.in;test KpSolverHeurDP;280;280;280;0;1.1934e-05
